"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Alberta","2021A000248","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548932","10.8.1.1","4.6","","","","1"
"2014","Alberta","2021A000248","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548932","10.8.1.1","4.8","","","","1"
"2015","Alberta","2021A000248","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548932","10.8.1.1","6.1","","","","1"
"2016","Alberta","2021A000248","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548932","10.8.1.1","8.2","","","","1"
"2017","Alberta","2021A000248","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548932","10.8.1.1","8.0","","","","1"
"2018","Alberta","2021A000248","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548932","10.8.1.1","6.5","","","","1"
"2019","Alberta","2021A000248","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548932","10.8.1.1","6.9","","","","1"
"2020","Alberta","2021A000248","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548932","10.8.1.1","11.4","","","","1"
"2021","Alberta","2021A000248","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548932","10.8.1.1","8.6","","","","1"
"2022","Alberta","2021A000248","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548932","10.8.1.1","5.8","","","","1"
"2023","Alberta","2021A000248","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548932","10.8.1.1","5.9","","","","1"
"2024","Alberta","2021A000248","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548932","10.8.1.1","7.0","","","","1"
"2008","British Columbia","2021A000259","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063549724","11.8.1.1","4.8","","","","1"
"2009","British Columbia","2021A000259","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063549724","11.8.1.1","7.8","","","","1"
"2010","British Columbia","2021A000259","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063549724","11.8.1.1","7.8","","","","1"
"2011","British Columbia","2021A000259","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063549724","11.8.1.1","7.6","","","","1"
"2012","British Columbia","2021A000259","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063549724","11.8.1.1","6.9","","","","1"
"2013","British Columbia","2021A000259","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063549724","11.8.1.1","6.7","","","","1"
"2014","British Columbia","2021A000259","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063549724","11.8.1.1","6.2","","","","1"
"2015","British Columbia","2021A000259","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063549724","11.8.1.1","6.2","","","","1"
"2016","British Columbia","2021A000259","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063549724","11.8.1.1","6.1","","","","1"
"2017","British Columbia","2021A000259","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063549724","11.8.1.1","5.3","","","","1"
"2018","British Columbia","2021A000259","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063549724","11.8.1.1","4.6","","","","1"
"2019","British Columbia","2021A000259","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063549724","11.8.1.1","4.8","","","","1"
"2020","British Columbia","2021A000259","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063549724","11.8.1.1","9.1","","","","1"
"2021","British Columbia","2021A000259","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063549724","11.8.1.1","6.6","","","","1"
"2022","British Columbia","2021A000259","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063549724","11.8.1.1","4.6","","","","1"
"2023","British Columbia","2021A000259","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063549724","11.8.1.1","5.2","","","","1"
"2024","British Columbia","2021A000259","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063549724","11.8.1.1","5.6","","","","1"


